 ,Area,Mean,Min,Max,X,Y
1,66.047,255,255,255,49.324,312.098
2,73.772,255,255,255,79.180,308.624
3,76.475,255,255,255,228.796,305.436
4,78.406,255,255,255,211.997,301.129
5,71.840,255,255,255,101.709,298.929
6,66.433,255,255,255,155.703,298.571
7,78.793,255,255,255,185.439,294.725
8,28.195,255,255,255,28.558,291.266
9,83.814,255,255,255,178.573,285.668
10,74.158,255,255,255,135.949,283.026
11,82.655,255,255,255,69.475,281.801
12,70.295,255,255,255,43.715,280.175
13,71.454,255,255,255,233.779,273.571
14,87.290,255,255,255,200.400,265.249
15,89.607,255,255,255,168.630,264.507
16,73.385,255,255,255,38.633,263.734
17,77.248,255,255,255,95.400,262.694
18,86.904,255,255,255,273.180,262.435
19,83.814,255,255,255,223.319,258.228
20,79.179,255,255,255,80.461,253.587
21,87.676,255,255,255,140.760,249.864
22,74.158,255,255,255,311.362,250.331
23,79.951,255,255,255,119.869,249.014
24,90.380,255,255,255,192.680,245.684
25,85.359,255,255,255,238.374,244.398
26,14.291,255,255,255,291.399,244.402
27,71.840,255,255,255,39.300,232.858
28,81.496,255,255,255,276.051,230.374
29,83.814,255,255,255,211.818,228.666
30,74.930,255,255,255,72.905,228.221
31,87.676,255,255,255,126.630,225.922
32,81.110,255,255,255,259.329,223.183
33,101.581,255,255,255,169.488,221.884
34,79.951,255,255,255,310.652,222.113
35,80.724,255,255,255,103.792,215.248
36,75.317,255,255,255,135.325,215.436
37,95.401,255,255,255,194.721,212.885
38,75.317,255,255,255,272.252,204.399
39,79.565,255,255,255,66.194,203.897
40,85.359,255,255,255,18.899,201.322
41,88.062,255,255,255,165.769,195.960
42,77.634,255,255,255,225.553,197.435
43,73.772,255,255,255,249.316,197.483
44,67.978,255,255,255,310.034,197.140
45,85.359,255,255,255,182.008,189.674
46,72.999,255,255,255,118.994,186.808
47,79.565,255,255,255,282.701,185.959
48,85.359,255,255,255,100.164,183.934
49,80.338,255,255,255,40.366,181.577
50,72.227,255,255,255,80.173,177.749
51,78.020,255,255,255,246.777,175.347
52,73.772,255,255,255,281.279,173.121
53,85.359,255,255,255,132.197,171.775
54,79.565,255,255,255,211.868,169.218
55,84.972,255,255,255,53.606,166.017
56,82.655,255,255,255,6.549,164.251
57,75.703,255,255,255,170.616,163.757
58,79.565,255,255,255,300.818,159.908
59,70.682,255,255,255,274.734,153.127
60,74.544,255,255,255,192.377,146.246
61,89.607,255,255,255,208.520,145.132
62,82.269,255,255,255,29.124,144.661
63,76.089,255,255,255,97.732,143.942
64,81.883,255,255,255,181.065,137.790
65,82.269,255,255,255,299.961,137.095
66,81.110,255,255,255,160.022,134.586
67,79.565,255,255,255,58.078,134.276
68,93.470,255,255,255,234.691,128.030
69,86.904,255,255,255,125.231,128.778
70,82.269,255,255,255,213.073,128.362
71,77.634,255,255,255,252.348,128.599
72,77.634,255,255,255,272.887,116.784
73,86.517,255,255,255,187.390,116.148
74,74.544,255,255,255,237.404,114.927
75,82.269,255,255,255,71.349,112.446
76,77.634,255,255,255,303.179,110.987
77,58.322,255,255,255,13.119,109.893
78,72.999,255,255,255,135.859,108.429
79,84.200,255,255,255,253.496,108.845
80,84.972,255,255,255,115.573,106.785
81,80.724,255,255,255,93.286,105.677
82,11.973,255,255,255,100.670,104.900
83,83.041,255,255,255,284.079,96.606
84,82.655,255,255,255,23.166,93.367
85,71.454,255,255,255,71.835,88.024
86,74.158,255,255,255,213.857,87.558
87,90.766,255,255,255,168.396,84.316
88,84.972,255,255,255,135.412,84.533
89,90.380,255,255,255,292.789,83.600
90,88.062,255,255,255,103.962,79.004
91,77.634,255,255,255,264.069,78.781
92,81.883,255,255,255,201.433,75.492
93,84.972,255,255,255,42.967,66.741
94,77.248,255,255,255,283.007,64.416
95,83.814,255,255,255,161.122,61.227
96,77.248,255,255,255,248.689,59.538
97,83.814,255,255,255,226.951,58.684
98,85.745,255,255,255,97.838,55.522
99,76.861,255,255,255,81.053,49.389
100,80.724,255,255,255,55.432,45.453
101,78.793,255,255,255,22.532,40.786
102,86.131,255,255,255,121.672,36.552
103,74.158,255,255,255,214.026,35.195
104,72.999,255,255,255,189.113,34.982
105,76.861,255,255,255,288.119,30.429
106,81.883,255,255,255,62.720,26.856
107,81.883,255,255,255,254.622,23.933
108,84.586,255,255,255,98.837,19.858
109,82.655,255,255,255,187.847,14.738
110,81.110,255,255,255,256.086,13.992
111,78.406,255,255,255,137.967,12.052
112,80.338,255,255,255,34.737,5.731
